shi 1000
nav 5 .5
nav 1 .5
nav 5 .5
nav 1 .5
nav 5 .5
nav 1 .5
nav 5 .5
nav 1 .5
nav 5 .5
nav 1 .5
nav 5 .5
nav 1 .5
nav 5 .5
nav 1 .5
nav 5 .5
nav 1 .5
nav 5 .5
nav 1 .5
nav 5 .5
nav 1 .5
nav 5 .5
nav 1 .5
nav 5 .5
nav 1 .5
nav 5 .5
nav 1 .5
nav 5 .5
nav 1 .5
nav 5 .5
nav 1 .5
nav 5 .5
nav 1 .5
nav 5 .5
nav 1 .5
nav 5 .5
nav 1 .5
nav 5 .5
nav 1 .5
nav 5 .5
nav 1 .5
nav 5 .5
nav 1 .5
nav 5 .5
nav 1 .5
nav 5 .5
nav 1 .5
nav 5 .5
nav 1 .5
nav 5 .5
nav 1 .5
nav 5 .5
nav 1 .5
nav 5 .5
nav 1 .5
nav 5 .5
nav 1 .5
nav 5 .5
nav 1 .5
nav 5 .5
nav 1 .5
nav 5 .5
nav 1 .5
